event_id,symbol,usable,reason,gross,p_pre,yield_pct,u_pdr,u_close,u_open,div_check,weekend,p_close_pre,pdr_literature,gap_min,monday,jump_ts,jump_over_div,pdr_overnight_2000,p_overnight_2000,abnormal_overnight_2000,pdr_premarket_0400,p_premarket_0400,abnormal_premarket_0400,pdr_open_0930,p_open_0930,abnormal_open_0930,pdr_open_1000,p_open_1000,abnormal_open_1000,pdr_close_1600,p_close_1600,abnormal_close_1600
rLRCX-2026-06-17-1,rLRCX,True,,0.26,369.884,0.07029230785868001,-48.69232177734375,369.3399963378906,382.0,Yahoo agrees on ex-date and amount (to 3 dp),True,369.36,-61.35384615384614,1.0,False,2026-06-17T11:27:00+00:00,7.5923076923078705,-2.4461538461537202,370.52,0.11813409224692428,-50.038461538461505,382.894,3.2943466722490156,-59.33846153846152,385.312,4.163311963241179,-71.2538461538462,388.41,5.089314850426085,-16.446153846153887,374.16,2.3509510381736654
rSATA-2026-06-17-1,rSATA,False,cash amount basis is UNRESOLVED; gross basis required,,,,,,,not checked,False,,,,False,,,,,,,,,,,,,,,,,
rSATA-2026-06-18-1,rSATA,False,cash amount basis is UNRESOLVED; gross basis required,,,,,,,not checked,False,,,,False,,,,,,,,,,,,,,,,,
rAVGO-2026-06-22-1,rAVGO,True,,0.65,411.256,0.15805240531445136,-3.5538423978365383,411.3500061035156,413.6600036621094,Yahoo agrees on ex-date and amount (to 3 dp),True,411.06,-3.7692307692307514,1.0,True,2026-06-22T00:00:00+00:00,11.676923076923126,0.007692307692300696,411.251,-0.00014474263416719424,6.855384615384554,406.8,-1.035580759635557,-3.467692307692337,413.51,0.2799141934511695,16.70153846153845,400.4,-3.019939336454147,28.092307692307678,392.996,-4.121153123366261
rQQQ-2026-06-22-1,rQQQ,True,,0.81349,739.817,0.10995827346492444,-1.721009986677771,740.6199951171875,742.02001953125,Yahoo agrees on ex-date and amount (to 3 dp),True,739.68,-5.014198084795221,1.0,True,2026-06-22T00:00:00+00:00,9.455555692141276,0.0184390711625052,739.802,-0.0009564833303055131,-0.9207242867152928,740.566,0.14917052108608386,-4.845787901510783,743.759,0.2646715545573164,-5.523116448880672,744.31,0.22709133870846276,2.2163763537351375,738.014,0.07519476103142742
rSATA-2026-06-22-1,rSATA,False,cash amount basis is UNRESOLVED; gross basis required,,,,,,,not checked,False,,,,False,,,,,,,,,,,,,,,,,
rVST-2026-06-22-1,rVST,True,,0.229,163.6,0.1399755501222494,1.0698476733078601,163.75,163.5050048828125,Yahoo agrees on ex-date and amount (to 3 dp),False,163.699,-3.8602620087335637,1.0,True,2026-06-22T13:28:00+00:00,2.777292576419195,0.0,163.6,0.0010710450990214504,0.0,163.6,0.04792926818165677,-4.292576419213992,164.583,0.3326928290512621,-8.794759825327555,165.614,0.8508303345871049,-14.85152838427952,167.001,2.3977545339823547
rAPH-2026-06-23-1,rAPH,False,no 1m bars at/after openTime 2026-09-03 in window (0 pre-listing bars dropped),0.25,,,12.5,82.9800033569336,79.8550033569336,AMOUNT MISMATCH: Yahoo 0.125 vs Bitget 0.25,False,,,,False,,,,,,,,,,,,,,,,,
rAVL-2026-06-23-1,rAVL,True,,0.20039,48.23,0.41548828529960613,18.963018299618476,48.290000915527344,44.4900016784668,Yahoo agrees on ex-date and amount (to 3 dp),False,48.24,14.90094316083639,11.0,False,2026-06-23T13:28:00+00:00,2.42028045311642,0.09980537950993572,48.21,-0.16047156299764387,14.945855581615836,45.235,-4.823335152369134,14.851040471081387,45.254,-4.694654270086341,5.928439542891338,47.042,-1.636895368230884,16.49283896402016,44.925,-5.509521576533261
rLABD-2026-06-23-1,rLABD,True,,0.07523,10.015,0.7511732401397904,-3.3231423634188486,10.0,10.25,Yahoo agrees on ex-date and amount (to 3 dp),False,9.999,-0.9038947228499218,2.0,False,2026-06-23T00:01:00+00:00,2.857902432540208,2.857902432540208,9.8,-2.2657834272560073,-1.8077894456998436,10.151,2.744455810988844,-0.6912136115911153,10.067,1.9950002384059529,6.500066462847278,9.526,-4.056374174073563,4.333377641898186,9.689,-1.9120575196639678
