ts,session,symbol,levels_ask,levels_bid,spread_bp,ask_depth_0.005,bid_depth_0.005,ask_depth_0.02,bid_depth_0.02,buy_walk_bp_1000,sell_walk_bp_1000,buy_walk_bp_5000,sell_walk_bp_5000,buy_walk_bp_25000,sell_walk_bp_25000
2026-09-16T11:48:58.027540+00:00,off_hours,RSGOVUSDT,44,42,4.968450340338566,19156.38192,18617.441623,88445.06799899999,93324.76526500001,4.688980226610351,6.54766072953894,12.271471062414996,19.457654254907418,30.818527259826034,41.696627948895056
2026-09-16T11:48:58.027540+00:00,off_hours,RSOXSUSDT,34,40,10.240655401946597,21525.733823000002,10852.364785,79733.95576900001,73236.193854,5.73675471025048,9.272819710570701,14.59046675207798,21.660497871772712,33.6590214560828,48.3389394439282
2026-09-16T11:48:58.027540+00:00,off_hours,RSPXUUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RSQQQUSDT,42,37,14.996250937266252,17528.557861,19416.660063,87370.997389,91938.971783,8.345152865141259,8.185035349331793,18.63218061185945,19.334943077589095,42.36667770003422,39.732957970008975
2026-09-16T11:48:58.027540+00:00,off_hours,RSTMUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RSTRCUSDT,38,41,24.592683676605688,23035.453339,14683.860111,108847.774872,105263.594045,12.87744649485889,14.386736026514857,19.11950492458958,22.29353806868062,36.84307754837857,41.13958363727743
2026-09-16T11:48:58.027540+00:00,off_hours,RSTXUSDT,46,46,26.01775329048155,140783.002323,133030.820288,365884.931016,457654.69596700004,13.008876645241862,13.008876645239642,13.045187493800903,13.008876645239642,15.123627757780422,13.692052512475072
2026-09-16T11:48:58.027540+00:00,off_hours,RTLTUSDT,39,43,4.933399111987178,14857.68532,16282.817685,86102.460166,81378.774157,8.407786223403324,4.851857166350282,18.651095046822164,20.345109353298028,42.12568907392633,48.86574995899284
2026-09-16T11:48:58.027540+00:00,off_hours,RTQQQUSDT,41,42,7.241653993771767,17836.282831,14817.897401,81201.774274,76594.796512,5.5420054358013005,5.08936407141336,16.735002767831464,16.26776420982745,38.31955247431074,41.12245548634319
2026-09-16T11:48:58.027540+00:00,off_hours,RTSMUSDT,50,48,9.808025835775972,20410.348765,17354.342526,88227.998475,86402.926695,6.0838018760245305,5.749154281584623,15.392838790670993,25.333672461413936,32.72483408160775,48.32918214093929
2026-09-16T11:48:58.027540+00:00,off_hours,RTZAUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RUPROUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RVOOUSDT,41,46,7.581013138038416,47883.838472999996,46210.51314,206428.09858,206213.063988,3.858045436087032,3.8523558415892722,7.654063150899226,8.597318872043402,15.318718406158727,23.463809439495662
2026-09-16T11:48:58.027540+00:00,off_hours,RVSTUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RVTVUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RYANGUSDT,0,0,,,,,,,,,,,
2026-09-16T11:48:58.027540+00:00,off_hours,RYINNUSDT,0,0,,,,,,,,,,,
