event_id,symbol,usable,reason,gross,p_pre,yield_pct,u_pdr,u_close,u_open,div_check,weekend,p_close_pre,pdr_literature,gap_min,monday,jump_ts,jump_over_div,pdr_overnight_2000,p_overnight_2000,abnormal_overnight_2000,pdr_premarket_0400,p_premarket_0400,abnormal_premarket_0400,pdr_open_0930,p_open_0930,abnormal_open_0930,pdr_open_1000,p_open_1000,abnormal_open_1000,pdr_close_1600,p_close_1600,abnormal_close_1600
rADI-2026-06-02-1,rADI,False,no 1m bars at/after openTime 2026-06-09 in window (0 pre-listing bars dropped),1.1,,,-6.190906871448863,402.69000244140625,409.5,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rAAON-2026-06-05-1,rAAON,False,no 1m bars at/after openTime 2026-09-07 in window (0 pre-listing bars dropped),0.1,,,23.600006103515625,143.64999389648438,141.2899932861328,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rABEV-2026-06-24-1,rABEV,False,cash amount basis is UNRESOLVED; gross basis required,,,,,,,not checked,False,,,,False,,,,,,,,,,,,,,,,,
rA-2026-06-30-1,rA,False,no 1m bars at/after openTime 2026-07-14 in window (0 pre-listing bars dropped),0.255,,,-0.6274653416053921,132.8300018310547,132.99000549316406,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rABCB-2026-06-30-1,rABCB,False,no 1m bars at/after openTime 2026-09-11 in window (0 pre-listing bars dropped),0.2,,,0.9999847412109375,90.3499984741211,90.1500015258789,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rADC-2026-06-30-1,rADC,False,no 1m bars at/after openTime 2026-09-07 in window (0 pre-listing bars dropped),0.267,,,2.6966337854049622,76.93000030517578,76.20999908447266,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rACM-2026-07-01-1,rACM,False,no 1m bars at/after openTime 2026-09-07 in window (0 pre-listing bars dropped),0.31,,,1.2903275028351815,69.80000305175781,69.4000015258789,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rACN-2026-07-09-1,rACN,True,,1.63,137.875,1.1822302810516772,3.834355828220859,137.19000244140625,130.94000244140625,Yahoo agrees on ex-date and amount (to 3 dp),False,137.19,3.85276073619632,3.0,False,2026-07-09T10:25:00+00:00,1.0110429447852738,-0.47546012269939003,138.65,0.5749832787108722,0.8546012269938655,136.482,-1.3423959951531783,4.273006134969328,130.91,-5.203821348765835,1.0092024539877364,136.23,-1.6562503093387138,-0.7177914110429372,139.045,0.0564794018923509
rABBV-2026-07-15-1,rABBV,True,,1.73,245.32,0.7052013696396543,0.8439256965769508,244.77999877929688,243.32000732421875,Yahoo agrees on ex-date and amount (to 3 dp),False,244.83,-0.2196531791907488,6.0,False,2026-07-15T00:05:00+00:00,0.7630057803468169,0.7630057803468169,244.0,-0.5383382931462122,0.9803468208092474,243.624,-0.7222810357650933,0.0635838150288932,245.21,-0.24375267362887199,-0.6150289017341,246.384,0.20426518638272384,0.6421965317919017,244.209,-0.6391764933552535
rABT-2026-07-15-1,rABT,True,,0.63,89.1,0.7070707070707071,1.5396844773065477,88.95999908447266,87.98999786376953,Yahoo agrees on ex-date and amount (to 3 dp),False,88.96,1.523809523809514,1.0,False,2026-07-15T06:05:00+00:00,1.2063492063492145,0.7142857142856962,88.65,-0.5053160768531573,1.0396825396825415,88.445,-0.766068183470936,1.746031746031737,88.0,-1.4334811814181392,0.7777777777777697,88.61,-0.7793979207653456,-0.312698412698417,89.297,0.03480126820878393
rACI-2026-07-24-1,rACI,False,no 1m bars at/after openTime 2026-09-11 in window (0 pre-listing bars dropped),0.17,,,1.647057252771714,11.4399995803833,11.15999984741211,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rADC-2026-07-31-1,rADC,False,no 1m bars at/after openTime 2026-09-07 in window (0 pre-listing bars dropped),0.267,,,3.4457146005237593,78.41000366210938,77.48999786376953,Yahoo agrees on ex-date and amount (to 3 dp),False,,,,False,,,,,,,,,,,,,,,,,
rAAPL-2026-08-10-1,rAAPL,True,,0.27,313.149,0.08622093635936887,24.074074074074073,313.3299865722656,306.8299865722656,Yahoo agrees on ex-date and amount (to 3 dp),True,313.298,23.381481481481437,1.0,True,2026-08-10T10:35:00+00:00,9.585185185185056,-0.23703703703711618,313.213,-0.0010268332254259604,0.12222222222227948,313.116,-0.14863430076516027,22.82962962962958,306.985,-1.9665817937708274,23.88518518518523,306.7,-2.0718161721270723,19.16296296296288,307.975,-1.6090612259748616
